TimeL;TimeGln(hms);TimeGln(sec.);TimeGps(sec.);S(2)E1B;dS(2)E1B;Fi(2)E1B;S(4)E1B;dS(4)E1B;Fi(4)E1B;S(10)E1B;dS(10)E1B;Fi(10)E1B;S(11)E1B;dS(11)E1B;Fi(11)E1B;S(12)E1B;dS(12)E1B;Fi(12)E1B;S(16)E1B;dS(16)E1B;Fi(16)E1B;S(19)E1B;dS(19)E1B;Fi(19)E1B;S(25)E1B;dS(25)E1B;Fi(25)E1B;S(29)E1B;dS(29)E1B;Fi(29)E1B;S(36)E1B;dS(36)E1B;Fi(36)E1B
169;12:37:01.000;45421;34639;;;;;;;23600430.39;53.33677;-23600428.17;;;;24115087.19;291.76285;-24115088.16;;;;;;;24631733;230.97194;-24631733.18;27128841.83;53.10645;-27128850.24;;;
170;12:37:02.000;45422;34640;;;;;;;23600483.17;53.33146;-23600481.5;;;;24115377.32;291.74655;-24115379.9;;;;;;;24631965.01;230.99538;-24631964.18;27128894.59;53.13706;-27128903.38;;;
171;12:37:03.000;45423;34641;;;;;;;23600537.27;53.40596;-23600534.91;;;;24115668.97;291.80606;-24115671.71;;;;;;;24632196.11;231.09248;-24632195.27;27128949.81;53.24058;-27128956.62;;;
172;12:37:04.000;45424;34642;;;;;;;23600588.99;53.44184;-23600588.35;;;;24115958.4;291.83334;-24115963.54;;;;;;;24632427.43;231.1683;-24632426.44;27129005.09;53.32705;-27129009.94;;;
173;12:37:05.000;45425;34643;;;;;;;23600641.29;53.49344;-23600641.85;;;;24116252.91;291.86624;-24116255.41;;;;;;;24632658.17;231.23364;-24632657.67;27129056.02;53.39768;-27129063.34;;;
174;12:37:06.000;45426;34644;;;;;;;23600696.55;53.51503;-23600695.36;;;;24116545.49;291.87378;-24116547.28;;;;;;;24632888.77;231.29041;-24632888.96;27129106.36;53.45252;-27129116.79;;;
175;12:37:07.000;45427;34645;;;;;;;23600750.56;53.52742;-23600748.89;;;;24116833.58;291.8801;-24116839.16;;;;;;;24633120.24;231.33415;-24633120.29;27129160.93;53.51314;-27129170.31;;;
176;12:37:08.000;45428;34646;;;;;;;23600803.79;53.5571;-23600802.45;;;;24117127.1;291.90067;-24117131.06;;;;;;;24633351.97;231.3903;-24633351.69;27129214.62;53.57441;-27129223.88;;;
177;12:37:09.000;45429;34647;;;;;;;23600858.03;53.65445;-23600856.1;;;;24117419.25;291.97784;-24117423.04;;;;;;;24633583.74;231.51505;-24633583.2;27129271.12;53.7134;-27129277.6;;;
178;12:37:10.000;45430;34648;;;;;;;23600911.39;53.75317;-23600909.85;;;;24117710.43;292.06067;-24117715.1;;;;;;;24633814.78;231.64009;-24633814.84;27129324.29;53.83455;-27129331.43;;;
179;12:37:11.000;45431;34649;;;;;;;23600965.66;53.77702;-23600963.63;;;;24118003.1;292.07703;-24118007.18;;;;;;;24634045.62;231.69595;-24634046.54;27129376.5;53.89716;-27129385.33;;;
180;12:37:12.000;45432;34650;;;;;;;23601018.85;53.81845;-23601017.45;;;;24118293.44;292.10651;-24118299.29;;;;;;;24634276.8;231.76591;-24634278.3;27129430.86;53.9775;-27129439.31;;;
181;12:37:13.000;45433;34651;;;;;;;23601073.26;53.77971;-23601071.23;;;;24118587.07;292.05283;-24118591.34;;;;;;;24634509.34;231.75096;-24634510.05;27129483.13;53.97683;-27129493.28;;;
182;12:37:14.000;45434;34652;;;;;;;23601127.3;53.79508;-23601125.02;;;;24118880.36;292.06055;-24118883.4;;;;;;;24634740.83;231.79822;-24634741.85;27129538.45;54.0275;-27129547.31;;;
183;12:37:15.000;45435;34653;;;;;;;23601181.94;53.83136;-23601178.85;;;;24119171.6;292.07825;-24119175.48;;;;;;;24634973.53;231.86214;-24634973.71;27129591;54.1027;-27129601.41;;;
184;12:37:16.000;45436;34654;;;;;;;23601235.54;53.89971;-23601232.75;;;;24119463.66;292.13498;-24119467.61;;;;;;;24635204.77;231.96138;-24635205.67;27129647.19;54.20111;-27129655.61;;;
185;12:37:17.000;45437;34655;;;;;;;23601289.05;53.96367;-23601286.72;;;;24119757.57;292.19061;-24119759.8;;;;;;;24635435.34;232.04884;-24635437.72;27129701.87;54.29972;-27129709.91;;;
186;12:37:18.000;45438;34656;;;;;;;23601343.09;53.97443;-23601340.69;;;;24120049.24;292.18893;-24120051.99;;;;;;;24635667.66;232.09505;-24635669.82;27129754.94;54.34729;-27129764.26;;;
187;12:37:19.000;45439;34657;;;;;;;23601397.37;53.9785;-23601394.67;;;;24120343.25;292.17667;-24120344.17;;;;;;;24635899.05;232.11951;-24635901.94;27129812.19;54.38724;-27129818.65;;;
188;12:37:20.000;45440;34658;;;;;;;23601452.14;54.08764;-23601448.76;;;;24120635.32;292.27365;-24120636.44;;;;;;;24636131.41;232.25992;-24636134.2;27129864.43;54.53237;-27129873.18;;;
189;12:37:21.000;45441;34659;;;;;;;23601506.34;54.10011;-23601502.86;;;;24120926.16;292.2739;-24120928.72;;;;;;;24636363.58;232.30283;-24636366.5;27129919.67;54.57806;-27129927.76;;;
190;12:37:22.000;45442;34660;;;;;;;23601561.72;54.13555;-23601556.99;;;;24121219.42;292.2959;-24121221.01;;;;;;;24636596.05;232.36293;-24636598.86;27129972.92;54.6535;-27129982.41;;;
191;12:37:23.000;45443;34661;;;;;;;23601615;54.21587;-23601611.21;;;;24121511.15;292.36575;-24121513.38;;;;;;;24636828.88;232.47447;-24636831.34;27130029;54.76966;-27130037.18;;;
192;12:37:24.000;45444;34662;;;;;;;23601669.22;54.24667;-23601665.46;;;;24121804.24;292.37631;-24121805.76;;;;;;;24637060.29;232.53024;-24637063.87;27130083.68;54.82855;-27130092.01;;;
193;12:37:25.000;45445;34663;;;;;;;23601722.96;54.31017;-23601719.77;;;;24122096.9;292.43829;-24122098.19;;;;;;;24637292.19;232.62706;-24637296.5;27130138.84;54.93265;-27130146.94;;;
194;12:37:26.000;45446;34664;;;;;;;23601777.25;54.34304;-23601774.11;;;;24122390.38;292.45325;-24122390.65;;;;;;;24637526.7;232.68364;-24637529.18;27130196.92;55.00287;-27130201.95;;;
195;12:37:27.000;45447;34665;;;;;;;23601831.72;54.40441;-23601828.51;;;;24122681.12;292.50458;-24122683.15;;;;;;;24637759.56;232.77379;-24637761.95;27130251.67;55.09938;-27130257.04;;;
196;12:37:28.000;45448;34666;;;;;;;23601887.05;54.43753;-23601882.95;;;;24122974.24;292.5246;-24122975.68;;;;;;;24637990.71;232.83833;-24637994.79;27130305.27;55.16613;-27130312.21;;;
197;12:37:29.000;45449;34667;;;;;;;23601941;54.46292;-23601937.42;;;;24123266.64;292.53564;-24123268.21;;;;;;;24638224.76;232.89091;-24638227.68;27130359.64;55.22797;-27130367.44;;;
198;12:37:30.000;45450;34668;;;;;;;23601996.23;54.51339;-23601991.93;;;;24123559.16;292.57303;-24123560.78;;;;;;;24638458.74;232.96991;-24638460.65;27130415.63;55.31787;-27130422.76;;;
